lat,lon,day,month,year
41.401943,141.429718,,,
41.401943,141.429718,,,
41.406113,141.434174,,,
43.071169,131.843957,24,12,2017
51.4988856011614,179.06483463330576,11,7,1969
51.4988856011614,179.06483463330576,28,1,1971
51.7844,-176.64,,,
51.784443,-176.640274,,,
52.08,-174.93,6,8,1973
52.083333,-174.933333,6,8,1973
52.929602,158.505249,11,8,2008
53.58,-166.83,4,3,1968
53.58,-166.83,4,3,1968
53.58,-166.83,4,3,1968
53.58,-166.83,4,3,1968
53.58,-166.83,4,3,1968
53.583333,-166.833333,4,3,1968
53.583333,-166.833333,4,3,1968
53.583333,-166.833333,4,3,1968
53.583333,-166.833333,4,3,1968
53.583333,-166.833333,4,3,1968
53.5927,-10.264,5,7,2015
53.8844,-166.5332,1,6,1968
53.8844,-166.5332,1,6,1968
54.26,-166.36,9,11,1972
54.263611,-166.360833,9,11,1972
55.301917,-162.863722,21,7,1973
55.315833,-162.845278,21,7,1973
56,-164.48,27,3,1976
56,-164.48,27,3,1976
56,-164.48,27,3,1976
56,-164.48,27,3,1976
56.01,-164.48,27,3,1976
56.01,-164.51,26,3,1976
56.01,-164.51,26,3,1976
56.01,-164.51,26,3,1976
56.016667,-164.48,27,3,1976
56.016667,-164.516667,26,3,1976
56.016667,-164.516667,26,3,1976
56.016667,-164.516667,26,3,1976
56.03,-162.95,24,4,1976
56.036667,-162.956667,24,4,1976
56.07,-162.77,24,4,1976
56.076667,-162.778333,24,4,1976
56.08,-162.91,24,4,1976
56.088333,-162.913333,24,4,1976
56.12,-164.12,25,3,1976
56.128333,-164.123333,25,3,1976
56.28,-164.21,25,3,1976
56.283333,-164.216667,25,3,1976
56.29,-164.23,25,3,1976
56.29,-164.23,25,3,1976
56.296667,-164.23,25,3,1976
56.296667,-164.23,25,3,1976
56.76,-169,24,4,1972
56.76,-169,23,4,1972
56.766667,-169,23,4,1972
56.766667,-169,24,4,1972
57.01,-158.68,31,5,1976
57.016667,-158.683333,31,5,1976
57.03,-170.4,12,8,1973
57.033333,-170.4,12,8,1973
57.25,-169,31,3,1972
57.25,-170.5,6,6,1953
57.25,-169,31,3,1972
57.25,-170.5,6,6,1953
57.27,162.97,,,
57.27,162.97,,,
57.27,162.97,,,
57.27,162.97,,,
57.27,162.97,,,
57.27,162.97,,,
57.27,162.97,,,
57.27,162.97,,,
57.27,162.97,,,
57.27,162.97,,,
57.27,162.97,,,
57.27,162.97,,,
57.27,162.97,,,
57.27,162.97,,,
57.27,162.97,,,
57.27,162.97,,,
57.34,-155.34,2,9,1978
57.344444,-155.344444,2,9,1978
57.62,-167.9,17,4,1971
57.625,-167.9,17,4,1971
57.63,-167.9,17,4,1971
57.633333,-167.9,17,4,1971
57.65,-165.02,20,4,1977
57.65,-165.02,20,4,1977
57.65,-165.02,20,4,1977
57.65,-165.02,20,4,1977
57.658333,-165.025,20,4,1977
57.658333,-165.025,20,4,1977
57.658333,-165.025,20,4,1977
57.658333,-165.025,20,4,1977
57.68,-155.48,24,6,1978
57.68,-155.48,24,6,1978
57.683333,-155.483333,24,6,1978
57.683333,-155.483333,24,6,1978
57.75,-169.2,19,4,1971
57.7525,-169.2,19,4,1971
57.76,-169.2,19,4,1971
57.765,-169.2,19,4,1971
58,-159,8,11,2010
58,-159,8,11,2010
58.11,-157.58,31,5,1976
58.11,-157.58,31,5,1976
58.116667,-157.583333,31,5,1976
